0020537,172Z97/5,"Instapper Python in de kleur zilver","DAMESSCHOENEN > INSTAPPER","2015 Zomer",41,ZILVER,"LOLA CRUZ",,169.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_172Z97-5/IMG_172Z97-5.ZILVER/IMG_2178141216.jpg,#C0C0C0
0020545,233Z10/5,"Sandaal 7/8H in de kleur cognac","DAMESSCHOENEN > SANDAAL","2015 Zomer",39,COGNAC,"LOLA CRUZ",,189.95,"New Collection",2,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_233Z10-5/IMG_233Z10-5.COGNAC/IMG_1400141216.jpg,#D2691E
0020606,374Z10/5,"Sandaal Gesp  in de kleur zwart","DAMESSCHOENEN > SANDAAL","2015 Zomer",40,ZWART,"LOLA CRUZ",,149.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_374Z10-5/IMG_374Z10-5.ZWART/IMG_1623141216.jpg,#000000
00207010,1225/5,"Instapper PL/H in de kleur blauw/wit","DAMESSCHOENEN > INSTAPPER","2015 Zomer","39 1/2",BLAUW,"MARCOS NALINI",,179.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_1225-5/IMG_1225-5.BLAUW_WIT/IMG_2260141216.jpg,#0000FF
0020723,1247/5,"Instapper Bit PL/H in de kleur wit","DAMESSCHOENEN > INSTAPPER","2015 Zomer",36,WIT,"MARCOS NALINI",,179.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_1247-5/IMG_1247-5.WIT/IMG_2267141216.jpg,#FFFFFF
0020725,1247/5,"Instapper Bit PL/H in de kleur wit","DAMESSCHOENEN > INSTAPPER","2015 Zomer",37,WIT,"MARCOS NALINI",,179.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_1247-5/IMG_1247-5.WIT/IMG_2267141216.jpg,#FFFFFF
00207215,1247/5,"Instapper Bit PL/H in de kleur wit","DAMESSCHOENEN > INSTAPPER","2015 Zomer",42,WIT,"MARCOS NALINI",,179.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_1247-5/IMG_1247-5.WIT/IMG_2267141216.jpg,#FFFFFF
00207321,700B/5,"Instap Kwast PL/H in de kleur zwartsuede","DAMESSCHOENEN > INSTAPPER","2015 Zomer",37,ZWART,"MARCOS NALINI",,179.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_700B-5/IMG_700B-5.ZWARTSUEDE/IMG_2269141216.jpg,#000000
00207325,700B/5,"Instap Kwast PL/H in de kleur zwartsuede","DAMESSCHOENEN > INSTAPPER","2015 Zomer",39,ZWART,"MARCOS NALINI",,179.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_700B-5/IMG_700B-5.ZWARTSUEDE/IMG_2269141216.jpg,#000000
00207311,700B/5,"Instap Kwast PL/H in de kleur beigesuede","DAMESSCHOENEN > INSTAPPER","2015 Zomer",40,BEIGE,"MARCOS NALINI",,179.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_700B-5/IMG_700B-5.BEIGESUEDE/IMG_2270141216.jpg,"#F5F5DC "
0020984,40S4DKFA4Q/5,"Teenslipper  in de kleur goud","DAMESSCHOENEN > SLIPPER","2015 Zomer",38,GOUD,"MICHAEL KORS",,74.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_40S4DKFA4Q-5/IMG_40S4DKFA4Q-5.GOUD/IMG_0012141216.jpg,#DAA520
00210910,Lamu/5,"Instapper in de kleur zilvblpyth","DAMESSCHOENEN > INSTAPPER","2015 Zomer",36,ZILVER,GINO-B,,199.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Lamu-5/IMG_Lamu-5.ZILVBLPYTH/IMG_1661141216.jpg,#C0C0C0
00210914,Lamu/5,"Instapper in de kleur zilvblpyth","DAMESSCHOENEN > INSTAPPER","2015 Zomer",40,ZILVER,GINO-B,,199.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Lamu-5/IMG_Lamu-5.ZILVBLPYTH/IMG_1661141216.jpg,#C0C0C0
0021152,Treasure/5,"Enkell Studs in de kleur zwart","DAMESSCHOENEN > LAARZEN","2015 Zomer",36,ZWART,"KARMA OF CHARME",,239.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Treasure-5/IMG_Treasure-5.ZWART/IMG_3280141216.jpg,#000000
0021156,Treasure/5,"Enkell Studs in de kleur zwart","DAMESSCHOENEN > LAARZEN","2015 Zomer",40,ZWART,"KARMA OF CHARME",,239.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Treasure-5/IMG_Treasure-5.ZWART/IMG_3280141216.jpg,#000000
00212910,75315/5,"Slipper Bloem in de kleur rose","DAMESSCHOENEN > SLIPPER","2015 Zomer",36,ROZE,LAZAMANI,,49.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_75315-5/IMG_75315-5.ROSE/IMG_3049141216.jpg,#f4c2c2
00213114,75320/5,"Sandaal Kralen in de kleur beige","DAMESSCHOENEN > SANDAAL","2015 Zomer",40,BEIGE,LAZAMANI,,49.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_75320-5/IMG_75320-5.BEIGE/IMG_2308141216.jpg,"#F5F5DC "
0021316,75320/5,"Sandaal Kralen in de kleur bruin","DAMESSCHOENEN > SANDAAL","2015 Zomer",40,BRUIN,LAZAMANI,,49.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_75320-5/IMG_75320-5.BRUIN/IMG_2309141216.jpg,#A52A2A
0021384,CLHOGO4A/5,"Sneaker Hoog in de kleur zilv/geel","KINDERSCHOENEN > MEISJES > SNEAKERS","2015 Zomer",22,ZILV/GEEL,"PHILIPPE MODEL KIDS",,169.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_CLHOGO4A-5/IMG_CLHOGO4A-5.ZILV_GEEL/IMG_0172141216.jpg,#ffffff
00213814,CLHOGO4A/5,"Sneaker Hoog in de kleur zilv/geel","KINDERSCHOENEN > MEISJES > SNEAKERS","2015 Zomer",32,ZILV/GEEL,"PHILIPPE MODEL KIDS",,184.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_CLHOGO4A-5/IMG_CLHOGO4A-5.ZILV_GEEL/IMG_0172141216.jpg,#ffffff
0021397,TRLOTO3B/5,"Sneaker in de kleur rood/zilv","KINDERSCHOENEN > UNI > SNEAKERS","2015 Zomer",25,ROOD/ZILV,"PHILIPPE MODEL KIDS",,139.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_TRLOTO3B-5/IMG_TRLOTO3B-5.ROOD_ZILV/IMG_0169141216.jpg,#ffffff
00213913,TRLOTO3B/5,"Sneaker in de kleur rood/zilv","KINDERSCHOENEN > UNI > SNEAKERS","2015 Zomer",31,ROOD/ZILV,"PHILIPPE MODEL KIDS",,149.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_TRLOTO3B-5/IMG_TRLOTO3B-5.ROOD_ZILV/IMG_0169141216.jpg,#ffffff
00213915,TRLOTO3B/5,"Sneaker in de kleur rood/zilv","KINDERSCHOENEN > UNI > SNEAKERS","2015 Zomer",33,ROOD/ZILV,"PHILIPPE MODEL KIDS",,149.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_TRLOTO3B-5/IMG_TRLOTO3B-5.ROOD_ZILV/IMG_0169141216.jpg,#ffffff
00214212,VU5S049-C/5,"Enkelschoen Veter in de kleur wit/zilver","KINDERSCHOENEN > MEISJES > ENKELSCHOEN","2015 Zomer",30,WIT,"SHOESME KIDS",,99.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_VU5S049-C-5/IMG_VU5S049-C-5.WIT_ZILVER/IMG_0209141216.jpg,#FFFFFF
00215136,Gizeh/5,"Teenslipper in de kleur turquoise","KINDERSCHOENEN > UNI > TEENSLIPPER","2015 Zomer",40,TURQUOISE,BIRKENSTOCK,,69.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Gizeh-5/IMG_Gizeh-5.TURQUOISE/IMG_3323141216.jpg,#40E0D0
0021525,467/5,"Instapper Veertjes in de kleur beige","DAMESSCHOENEN > INSTAPPER","2015 Zomer",39,BEIGE,MINNETONKA,,99.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_467-5/IMG_467-5.BEIGE/IMG_3026141216.jpg,"#F5F5DC "
00216231,20208/5,"Pump 3/4 Hak in de kleur zalm","DAMESSCHOENEN > PUMPS","2015 Zomer",41,ZALM,CALEXIS,,119.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_20208-5/IMG_20208-5.ZALM/IMG_1047141216.jpg,#FA8072
0021628,20208/5,"Pump 3/4 Hak in de kleur blauw","DAMESSCHOENEN > PUMPS","2015 Zomer",42,BLAUW,CALEXIS,,119.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_20208-5/IMG_20208-5.BLAUW/IMG_1060141216.jpg,#0000FF
00216216,20208/5,"Pump 3/4 Hak in de kleur jeansblauw","DAMESSCHOENEN > PUMPS","2015 Zomer",42,JEANS,CALEXIS,,119.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_20208-5/IMG_20208-5.JEANSBLAUW/IMG_1055141216.jpg,jeans.jpg
00216227,20208/5,"Pump 3/4 Hak in de kleur zalm","DAMESSCHOENEN > PUMPS","2015 Zomer",37,ZALM,CALEXIS,,119.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_20208-5/IMG_20208-5.ZALM/IMG_1047141216.jpg,#FA8072
00216212,20208/5,"Pump 3/4 Hak in de kleur jeansblauw","DAMESSCHOENEN > PUMPS","2015 Zomer",38,JEANS,CALEXIS,,119.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_20208-5/IMG_20208-5.JEANSBLAUW/IMG_1055141216.jpg,jeans.jpg
00216228,20208/5,"Pump 3/4 Hak in de kleur zalm","DAMESSCHOENEN > PUMPS","2015 Zomer",38,ZALM,CALEXIS,,119.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_20208-5/IMG_20208-5.ZALM/IMG_1047141216.jpg,#FA8072
00216213,20208/5,"Pump 3/4 Hak in de kleur jeansblauw","DAMESSCHOENEN > PUMPS","2015 Zomer",39,JEANS,CALEXIS,,119.95,"New Collection",2,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_20208-5/IMG_20208-5.JEANSBLAUW/IMG_1055141216.jpg,jeans.jpg
0021633,19215/5,"Suede Sandaal H/H in de kleur zwart","DAMESSCHOENEN > SANDAAL","2015 Zomer",37,ZWART,CALEXIS,,139.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_19215-5/IMG_19215-5.ZWART/IMG_1068141216.jpg,#000000
